T cell,NK cell,B cell,Platelet,Myeloid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X0.p_val,X0.avg_log2FC,X0.pct.1,X0.pct.2,X0.p_val_adj,X0.cluster,X0.gene,X1.p_val,X1.avg_log2FC,X1.pct.1,X1.pct.2,X1.p_val_adj,X1.cluster,X1.gene,X2.p_val,X2.avg_log2FC,X2.pct.1,X2.pct.2,X2.p_val_adj,X2.cluster,X2.gene,X3.p_val,X3.avg_log2FC,X3.pct.1,X3.pct.2,X3.p_val_adj,X3.cluster,X3.gene,X4.p_val,X4.avg_log2FC,X4.pct.1,X4.pct.2,X4.p_val_adj,X4.cluster,X4.gene,X5.p_val,X5.avg_log2FC,X5.pct.1,X5.pct.2,X5.p_val_adj,X5.cluster,X5.gene,X6.p_val,X6.avg_log2FC,X6.pct.1,X6.pct.2,X6.p_val_adj,X6.cluster,X6.gene,X7.p_val,X7.avg_log2FC,X7.pct.1,X7.pct.2,X7.p_val_adj,X7.cluster,X7.gene,X8.p_val,X8.avg_log2FC,X8.pct.1,X8.pct.2,X8.p_val_adj,X8.cluster,X8.gene,X9.p_val,X9.avg_log2FC,X9.pct.1,X9.pct.2,X9.p_val_adj,X9.cluster,X9.gene,X10.p_val,X10.avg_log2FC,X10.pct.1,X10.pct.2,X10.p_val_adj,X10.cluster,X10.gene,X11.p_val,X11.avg_log2FC,X11.pct.1,X11.pct.2,X11.p_val_adj,X11.cluster,X11.gene
0,5.650687347,0.312,0.008,0,0,TRIM31,1.75E-86,4.068995556,0.336,0.196,3.51E-83,1,S100B,0,11.68450088,0.615,0.003,0,2,HP,0,4.608916186,0.445,0.098,0,3,FCRL6,5.42E-170,7.001019706,0.267,0.026,1.08E-166,4,IL2,0,9.829909343,0.919,0.084,0,5,TCL1A,0,8.273548687,0.365,0.003,0,6,SH2D1B,6.10E-105,7.82239986,0.461,0.081,1.22E-101,7,FOXP3,0,10.01254967,0.286,0,0,8,SDR16C5,9.05E-05,9.274560973,0.364,0.009,0.181024683,9,IL23R,4.45E-79,8.69208925,0.921,0.233,8.90E-76,10,CDKN1C,0,15.2635593,0.975,0,0,11,MYCT1
0.009087342,4.479781601,0.273,0.024,1,0,DACT1,2.01E-106,3.991788131,0.428,0.309,4.01E-103,1,DSEL,0,11.29037277,0.762,0.003,0,2,CCL2,0,4.218595036,0.975,0.356,0,3,GZMH,0,5.315955484,0.295,0.004,0,4,HPGDS,0,9.196665014,0.427,0.001,0,5,LINC01013,0,7.353130461,0.363,0.035,0,6,TPD52L1,4.20E-75,6.561822628,0.254,0.019,8.41E-72,7,FANK1,0,9.437963385,0.36,0.005,0,8,OSTN-AS1,2.24E-128,7.885525289,0.558,0.002,4.48E-125,9,SLC4A10,9.76E-35,7.440287301,0.515,0.14,1.95E-31,10,CKB,5.10E-85,14.32431277,1,0.025,1.02E-81,11,PF4
0,4.222135061,0.28,0.016,0,0,CASC15,5.87E-44,3.379715421,0.274,0.178,1.17E-40,1,RPRM,6.28E-37,10.92867495,0.332,0,1.26E-33,2,FOLR3,1.53E-253,4.132368772,0.483,0.187,3.06E-250,3,LAG3,0,4.436233835,0.291,0.019,0,4,COL5A3,4.14E-44,7.988723602,0.321,0.002,8.29E-41,5,COL19A1,0,6.231481891,0.697,0.126,0,6,KLRF1,7.36E-230,6.543501975,0.279,0.017,1.47E-226,7,SEMA3G,1.43E-224,8.45028225,0.261,0.001,2.87E-221,8,BTNL9,1.37E-21,7.205436058,0.403,0.002,2.75E-18,9,MED12L,1.79E-23,7.295995635,0.297,0.056,3.59E-20,10,CEACAM3,7.81E-204,13.79812055,0.8,0,1.56E-200,11,CLEC1B
1.64E-07,2.247796532,0.275,0.061,0.000327311,0,FAM153B,3.04E-212,3.311790263,0.4,0.174,6.08E-209,1,PCSK1N,1.70E-93,10.84062577,0.461,0,3.40E-90,2,Mar-01,0,4.046499731,0.708,0.213,0,3,KLRG1,3.99E-34,4.403933116,0.295,0.078,7.98E-31,4,CCR4,0,7.725526727,0.346,0.001,0,5,FAM111B,9.94E-245,6.005319888,0.395,0.067,1.99E-241,6,MLC1,5.24E-121,5.491700943,0.638,0.177,1.05E-117,7,RTKN2,0,8.377588003,0.403,0.003,0,8,SSPN,8.06E-05,6.421788845,0.34,0.019,0.161116175,9,RORC,3.83E-38,7.152610981,0.257,0.014,7.66E-35,10,CYP4F22,0,13.65705807,0.925,0,0,11,CAPN8
9.58E-23,2.16247522,0.266,0.078,1.92E-19,0,TSHZ2,0,2.776784264,0.929,0.434,0,1,CD8B,0,10.53328957,0.811,0.004,0,2,NRG1,0,3.800665309,0.999,0.495,0,3,CCL5,1.32E-95,3.897794354,0.298,0.04,2.65E-92,4,ST8SIA1,3.93E-65,7.38521005,0.344,0.074,7.86E-62,5,TCL1B,3.67E-252,5.861967203,0.337,0.012,7.34E-249,6,RAMP1,2.87E-44,5.252658537,0.356,0.067,5.74E-41,7,IL2RA,3.49E-214,8.041528876,0.314,0.017,6.97E-211,8,COL4A3,0.003363181,6.095897484,0.422,0.028,1,9,LTK,1.44E-56,7.095314762,0.634,0.147,2.89E-53,10,MS4A4A,0,13.63920489,0.75,0,0,11,TMEM40
0,2.038990848,0.595,0.064,0,0,CLDN5,1.99E-291,2.517200848,0.562,0.206,3.97E-288,1,NELL2,0,10.39514455,0.698,0.001,0,2,CRISPLD2,2.98E-05,3.564893378,0.231,0.307,0.05953028,3,MT1E,1.28E-292,3.872124192,0.521,0.142,2.56E-289,4,TNFRSF4,0,7.111064458,0.756,0.145,0,5,FCER2,8.82E-87,5.715692461,0.3,0.03,1.76E-83,6,NCAM1,2.54E-100,4.854311132,0.406,0.093,5.08E-97,7,DUSP4,1.01E-253,7.897652545,0.318,0.016,2.03E-250,8,AK8,3.60E-247,4.945040223,0.728,0.085,7.20E-244,9,CCL20,6.23E-63,6.680214518,0.832,0.281,1.25E-59,10,HES4,2.16E-69,13.38829015,0.975,0.035,4.31E-66,11,PPBP
5.17E-141,2.022450856,0.459,0.12,1.03E-137,0,CMTM8,6.49E-40,2.307446604,0.395,0.36,1.30E-36,1,RUNX2,0,10.04750877,0.552,0.001,0,2,RNASE2,7.64E-223,3.398464402,0.384,0.127,1.53E-219,3,PTMS,2.14E-179,3.83764082,0.335,0.048,4.28E-176,4,CHN1,0,7.027494837,0.446,0.006,0,5,ZNF608,6.50E-225,5.601905615,0.645,0.258,1.30E-221,6,MYOM2,1.07E-55,4.275561229,0.384,0.099,2.13E-52,7,ICA1,2.45E-193,7.67603712,0.325,0.013,4.91E-190,8,RASSF6,0,4.78540782,0.714,0.04,0,9,PODXL,4.29E-35,5.612323598,0.634,0.209,8.57E-32,10,CTSL,1.51E-279,13.37756862,0.975,0.026,3.03E-276,11,PTCRA
0,1.96249585,0.459,0.053,0,0,ANKRD31,1.29E-198,2.175251867,0.415,0.208,2.57E-195,1,CARS,5.22E-10,9.949505174,0.34,0.001,1.04E-06,2,PID1,4.18E-68,3.37845065,0.288,0.163,8.35E-65,3,IFNG,2.87E-294,3.102618736,0.413,0.075,5.75E-291,4,PDCD1,0,6.970659717,0.705,0.039,0,5,FCRL1,1.65E-23,5.576736636,0.352,0.203,3.29E-20,6,AKR1C3,3.05E-43,3.967694524,0.304,0.074,6.10E-40,7,CCR10,0,7.667657651,0.597,0.03,0,8,TNFRSF13B,0,4.782537102,0.718,0.017,0,9,MCAM,3.50E-18,5.600595868,0.386,0.133,6.99E-15,10,ICAM4,0,13.37678605,0.925,0,0,11,RGS6
0,1.875402619,0.838,0.286,0,0,MAL,1.64E-81,1.978842405,0.255,0.12,3.27E-78,1,CPA5,0,9.766461767,0.756,0.001,0,2,PLA2G7,0,3.374502132,0.732,0.385,0,3,CD8A,4.84E-232,3.022028371,0.311,0.057,9.68E-229,4,CPNE7,0,6.840474239,0.586,0.048,0,5,TSPAN13,0,5.566408737,0.925,0.32,0,6,GNLY,1.05E-46,3.748194588,0.464,0.191,2.11E-43,7,IKZF2,3.52E-153,7.36789638,0.385,0.046,7.04E-150,8,CD80,1.09E-48,4.722604129,0.272,0.014,2.19E-45,9,CXCR6,6.24E-112,5.390449092,0.97,0.195,1.25E-108,10,MS4A7,2.83E-153,12.99971755,0.9,0.021,5.66E-150,11,CMTM5
0.002086224,1.856249285,0.282,0.024,1,0,TSPAN18,1.17E-30,1.897518449,0.279,0.203,2.34E-27,1,GTSCR1,0,9.676770661,0.902,0.05,0,2,S100A12,0,3.336686209,0.439,0.091,0,3,C1orf21,2.49E-168,2.879383625,0.523,0.277,4.99E-165,4,NPDC1,0,6.81915302,0.819,0.011,0,5,VPREB3,8.09E-299,5.273755738,0.573,0.12,1.62E-295,6,IGFBP7,6.18E-90,3.725062376,0.599,0.18,1.24E-86,7,TIGIT,0,7.204485003,0.36,0.01,0,8,EBI3,0,4.606193035,0.646,0.011,0,9,NUAK1,1.92E-40,5.295090877,0.683,0.208,3.83E-37,10,TCF7L2,1.44E-153,12.90519092,0.975,0.04,2.88E-150,11,GP9
7.81E-53,1.847499592,0.407,0.094,1.56E-49,0,TCEA3,7.45E-276,1.810101604,0.685,0.416,1.49E-272,1,PDE3B,0,9.649518915,0.757,0.002,0,2,CD163,0,3.301763965,0.62,0.304,0,3,CMC1,2.29E-108,2.806029908,0.267,0.074,4.58E-105,4,CCL20,0,6.768989549,0.537,0.009,0,5,MACROD2,3.90E-40,5.171732086,0.262,0.09,7.79E-37,6,B3GNT7,8.00E-54,3.357636154,0.478,0.212,1.60E-50,7,CTLA4,3.25E-101,6.469003966,0.375,0.06,6.49E-98,8,COL4A4,1.49E-160,4.271456687,0.568,0.046,2.98E-157,9,KRT23,1.85E-38,5.070231042,0.584,0.14,3.70E-35,10,SIGLEC10,0,12.86416624,0.775,0,0,11,ALOX12
1.15E-283,1.844309627,0.664,0.217,2.31E-280,0,TRAT1,0,1.809106262,0.825,0.412,0,1,CCR7,0,9.52348514,0.765,0.012,0,2,CLEC4D,7.07E-141,3.282110707,0.393,0.219,1.41E-137,3,TGFBR3,2.96E-142,2.784085567,0.283,0.056,5.92E-139,4,CCR10,0,6.63371912,0.316,0.001,0,5,FAM81A,4.38E-70,5.041918689,0.384,0.147,8.75E-67,6,CHST2,6.40E-43,3.178447466,0.436,0.176,1.28E-39,7,TNFRSF4,5.65E-126,6.413878859,0.357,0.007,1.13E-122,8,GRAMD1C,1.54E-199,4.082916741,0.636,0.029,3.08E-196,9,GFPT2,7.95E-17,5.019147292,0.436,0.182,1.59E-13,10,BATF3,0.003568373,12.62640463,0.475,0,1,11,PDZK1IP1
0.009634909,1.792155284,0.28,0.144,1,0,FHIT,2.58E-64,1.735220451,0.255,0.124,5.16E-61,1,PASK,0,9.5018748,0.998,0.192,0,2,S100A9,1.05E-34,3.132068445,0.257,0.168,2.09E-31,3,SLAMF7,6.06E-235,2.775398574,0.559,0.215,1.21E-231,4,MAF,0,6.592224785,0.478,0.028,0,5,PCDH9,0,4.959878676,0.734,0.094,0,6,KLRC1,1.91E-25,3.042341116,0.331,0.105,3.82E-22,7,FCRL3,2.06E-19,6.263264544,0.297,0.095,4.12E-16,8,COCH,0,4.046202018,0.655,0.005,0,9,BCAS1,9.10E-12,5.00277392,0.446,0.271,1.82E-08,10,PPM1N,2.97E-286,12.45735192,0.9,0,5.94E-283,11,TREML1
0,1.779222197,0.649,0.261,0,0,FAM13A,3.76E-53,1.729073836,0.316,0.177,7.51E-50,1,APBA2,0,9.24618067,0.998,0.062,0,2,S100A8,2.47E-07,3.122531983,0.327,0.368,0.000493256,3,AC092580.4,4.27E-144,2.741614108,0.324,0.059,8.53E-141,4,FGFR1,0,6.375041288,0.427,0.008,0,5,FAM177B,2.13E-193,4.847005901,0.646,0.294,4.26E-190,6,CCL3,9.47E-22,3.005446102,0.326,0.139,1.89E-18,7,TNFRSF18,2.35E-148,5.914369126,0.396,0.035,4.69E-145,8,BAIAP3,0,4.021373773,0.578,0.027,0,9,CHDH,8.91E-11,4.993808848,0.307,0.099,1.78E-07,10,TPPP3,1.96E-69,12.42861108,0.8,0.018,3.93E-66,11,MYL9
4.90E-233,1.779039312,0.642,0.263,9.80E-230,0,TRABD2A,4.99E-32,1.647039312,0.259,0.235,9.98E-29,1,SPRY1,0,9.172505412,0.855,0.005,0,2,CLEC4E,0,3.117423114,0.999,0.555,0,3,NKG7,1.14E-246,2.677307795,0.254,0.017,2.28E-243,4,IQCH,3.33E-222,6.326178066,0.373,0.022,6.67E-219,5,HS3ST1,1.04E-209,4.755960294,0.421,0.036,2.08E-206,6,PRSS23,0.00107378,2.874190092,0.298,0.214,1,7,GTSCR1,3.24E-185,5.877679617,0.276,0.001,6.49E-182,8,HTR3A,1.72E-152,3.730393032,0.99,0.321,3.45E-149,9,GZMK,5.47E-88,4.747384223,0.99,0.331,1.09E-84,10,FCGR3A,0,12.42742019,1,0.014,0,11,CTTN
1.16E-17,1.777830541,0.289,0.042,2.32E-14,0,EDA,3.76E-113,1.536096456,0.475,0.335,7.52E-110,1,FBXO32,0,9.144220801,0.727,0.001,0,2,IL31RA,0,2.983613229,0.749,0.256,0,3,KLRD1,3.70E-36,2.499638486,0.362,0.196,7.40E-33,4,CRIP2,0,6.309839201,0.519,0.049,0,5,IL6,4.47E-289,4.748827693,0.252,0.013,8.95E-286,6,BFSP1,3.99E-13,2.632280686,0.423,0.313,7.97E-10,7,STAM,9.51E-42,5.807772712,0.3,0.079,1.90E-38,8,PXDC1,0,3.727547835,0.718,0.038,0,9,COL5A3,2.03E-74,4.702763807,0.693,0.081,4.06E-71,10,CSF1R,8.05E-09,12.38427635,0.45,0,1.61E-05,11,GFI1B
0.003414565,1.5920335,0.285,0.051,1,0,GNG8,3.65E-52,1.499164983,0.438,0.407,7.30E-49,1,GPR155,0,9.123127505,0.612,0.002,0,2,CLEC10A,0,2.950109221,0.968,0.457,0,3,GZMA,2.96E-195,2.45860959,0.359,0.068,5.93E-192,4,PNMA5,0,6.094927426,0.294,0.001,0,5,OR2W3,0,4.720514008,0.991,0.272,0,6,PRF1,2.49E-63,2.545126695,0.732,0.525,4.98E-60,7,RGS1,2.71E-75,5.779121985,0.392,0.074,5.42E-72,8,TEX9,0,3.692413189,0.718,0.014,0,9,P2RY14,1.27E-79,4.692580035,0.95,0.262,2.54E-76,10,LRRC25,1.34E-204,11.89326946,1,0.001,2.68E-201,11,TUBB1
6.47E-263,1.580769806,0.677,0.302,1.29E-259,0,IL6ST,7.46E-266,1.41100819,0.8,0.532,1.49E-262,1,NUCB2,0,9.11607035,0.953,0.083,0,2,LGALS2,1.03E-149,2.906026912,0.345,0.209,2.06E-146,3,PATL2,1.51E-293,2.398363564,0.419,0.069,3.01E-290,4,ICA1,0,6.054511067,0.582,0.068,0,5,PAX5,3.53E-179,4.704066616,0.417,0.042,7.05E-176,6,PTGDR,2.87E-30,2.494613051,0.257,0.07,5.74E-27,7,TGFB1I1,8.18E-95,5.609246984,0.65,0.233,1.64E-91,8,AIM2,0,3.690145096,0.709,0.001,0,9,HBD,6.57E-76,4.595610997,1,0.481,1.31E-72,10,LST1,5.68E-282,11.78066278,0.95,0.001,1.14E-278,11,AQP10
7.78E-218,1.540561064,0.515,0.133,1.56E-214,0,RNF157,3.70E-59,1.3675814,0.331,0.273,7.41E-56,1,PADI4,0,9.085416496,0.98,0.053,0,2,CD14,0,2.890322098,0.784,0.572,0,3,DUSP2,4.03E-51,2.315535393,0.285,0.16,8.07E-48,4,ITGA1,1.08E-248,6.053249972,0.561,0.104,2.16E-245,5,CD22,1.11E-121,4.669902828,0.269,0.045,2.23E-118,6,KLRC3,3.04E-17,2.418845267,0.434,0.3,6.07E-14,7,NPDC1,7.79E-95,5.538703199,0.392,0.065,1.56E-91,8,ZBTB32,1.83E-263,3.635647772,0.549,0.013,3.67E-260,9,PAK3,7.44E-32,4.586848328,0.535,0.162,1.49E-28,10,APOBEC3B,1.87E-55,11.73745665,1,0.078,3.73E-52,11,ACRBP
1.23E-277,1.537226278,0.586,0.229,2.46E-274,0,ANK3,1.37E-81,1.294157605,0.381,0.201,2.73E-78,1,THEMIS,0,8.966562072,0.999,0.221,0,2,LYZ,0,2.889222032,0.981,0.366,0,3,CST7,1.09E-68,2.276217985,0.404,0.196,2.17E-65,4,CTLA4,0,5.888040151,0.335,0.011,0,5,GNG3,0,4.613877367,0.87,0.244,0,6,CLIC3,1.26E-11,2.205241016,0.356,0.214,2.53E-08,7,TBC1D4,5.44E-88,5.370711283,0.555,0.162,1.09E-84,8,CLECL1,2.04E-66,3.497099693,0.811,0.263,4.09E-63,9,NCR3,2.24E-13,4.581964941,0.327,0.119,4.48E-10,10,ADM,9.65E-93,11.70040729,0.55,0,1.93E-89,11,TAL1
